title,year,authors,key,ee,venue_category
Ada-Detector: Adaptive Frontier Detector for Rapid Exploration.,2022,Zezhou Sun & Banghe Wu & Chengzhong Xu 0001 & Hui Kong,conf/icra/SunW0K22,https://doi.org/10.1109/ICRA46639.2022.9811614,Robotics
Adaptive walking load control for training physical strength using cane-type robot.,2017,Shunki Itadera & Yasuhisa Hasegawa & Toshio Fukuda & Masanori Tanimoto & Izumi Kondo,conf/iros/ItaderaHFTK17,https://doi.org/10.1109/IROS.2017.8202202,Robotics
Sustainable Safety in Mobile Multi-robot Systems via Collective Adaptation.,2015,Darko Bozhinoski & Ivano Malavolta & Antonio Bucchiarone & Annapaola Marconi,conf/saso/BozhinoskiMBM15,https://doi.org/10.1109/SASO.2015.31,Self-Adaptive_Systems
Self-accounting in architecture-based self-adaptation.,2019,Raffaela Mirandola & Elvinia Riccobene & Patrizia Scandurra,conf/ecsa/MirandolaRS19,https://doi.org/10.1145/3344948.3344957,Software_Architecture
Modeling Collaborations in Adaptive Systems of Systems.,2015,Sebastian Wätzoldt & Holger Giese,conf/ecsa/WatzoldtG15,https://doi.org/10.1145/2797433.2797436,Software_Architecture
3D Coating Self-Assembly for Modular Robotic Scaffolds.,2020,Pierre Thalamy & Benoît Piranda & Julien Bourgeois,conf/iros/ThalamyPB20,https://doi.org/10.1109/IROS45743.2020.9341324,Robotics
Integrating Adaptation Mechanisms Using Control Theory Centric Architecture Models: A Case Study.,2014,Filip Krikava & Philippe Collet & Romain Rouvoy,conf/icac/KrikavaCR14,https://www.usenix.org/conference/icac14/technical-sessions/presentation/krikava,Self-Adaptive_Systems
Architecting resilient computing systems: A component-based approach for adaptive fault tolerance.,2017,Miruna Stoicescu & Jean-Charles Fabre & Matthieu Roy,journals/jsa/StoicescuFR17,https://doi.org/10.1016/j.sysarc.2016.12.005,Software_Architecture
Assessing Self-Adaptation Strategies Using Cost-Benefit Analysis.,2022,Ilias Gerostathopoulos & Claudia Raibulet & Elvin Alberts,conf/icsa/Gerostathopoulos22,https://doi.org/10.1109/ICSA-C54293.2022.00023,Software_Architecture
See Eye to Eye: A Lidar-Agnostic 3D Detection Framework for Unsupervised Multi-Target Domain Adaptation.,2022,Darren Tsai & Julie Stephany Berrio & Mao Shan & Stewart Worrall & Eduardo M. Nebot,journals/ral/TsaiBSWN22,https://doi.org/10.1109/LRA.2022.3185783,Robotics
Self-Supervised Correspondence in Visuomotor Policy Learning.,2020,Peter R. Florence & Lucas Manuelli & Russ Tedrake,journals/ral/FlorenceMT20,https://doi.org/10.1109/LRA.2019.2956365,Robotics
Hyper-Learning Algorithms for Online Evolution of Robot Controllers.,2017,Fernando Silva 0003 & Luís Correia 0001 & Anders Lyhne Christensen,journals/taas/SilvaCC17,https://doi.org/10.1145/3092815,Self-Adaptive_Systems
Efficient Learning of Inverse Dynamics Models for Adaptive Computed Torque Control.,2022,David Jorge & Gabriella Pizzuto & Michael N. Mistry,conf/iros/JorgePM22,https://doi.org/10.1109/IROS47612.2022.9981744,Robotics
A Bio-Signal Enhanced Adaptive Impedance Controller for Lower Limb Exoskeleton.,2020,Lin-qing Xia & Yachun Feng & Fan Chen & Xinyu Wu 0001,conf/icra/XiaFC020,https://doi.org/10.1109/ICRA40945.2020.9196774,Robotics
An Architecture-Driven Adaptation Approach for Big Data Cyber Security Analytics.,2019,Faheem Ullah & Muhammad Ali Babar,conf/icsa/UllahB19,https://doi.org/10.1109/ICSA.2019.00013,Software_Architecture
Adapting the concept of artificial DNA and hormone system to AUTOSAR environments.,2020,Eric Hutter & Uwe Brinkschulte & Felix Fastnacht,journals/jsa/HutterBF20,https://doi.org/10.1016/j.sysarc.2019.101700,Software_Architecture
